Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"they didn't know that Mr Araujo was deaf and dumb and wanted to know why .","They know Mr Araujo is deaf and dumb and want to know why.","RD","Predicted Relationship: contradiction with 97.80% confidence."
"they didn't know that Mr Araujo was deaf and dumb and wanted to know why .","They don't know that Mr Araujo is deaf and dumb and they want to know why.","hypernym","Predicted Relationship: entailment with 99.64% confidence."
"they didn't know that Mr Araujo was deaf and dumb and wanted to know why .","They don't know that Mr Araujo is deaf and dumb and they don't want to know why he is deaf and dumb.","polarity_negation","Predicted Relationship: contradiction with 99.75% confidence."
"they didn't know that Mr Araujo was deaf and dumb and wanted to know why .","They don't know that Mr Araujo is deaf and dumb and they want to know why.","RS","Predicted Relationship: entailment with 99.64% confidence."
"they didn't know that Mr Araujo was deaf and dumb and wanted to know why .","They don't know if Mr Araujo is hearing and dumb they want to know why.","antonym","Predicted Relationship: contradiction with 95.12% confidence."
"he had approached Benny Hinn during his sermon (pictured: Hinn in .","a href="http://www.youtube.com/watch?v=gbb&t=gbb">He approached Hinn during his sermon as the picture describes./a>","RD","Predicted Relationship: entailment with 91.21% confidence."
"he had approached Benny Hinn during his sermon (pictured: Hinn in .","During his sermon he approached the Founding Benny Hinn as the picture describes.","hypernym","Predicted Relationship: neutral with 73.16% confidence."
"he had approached Benny Hinn during his sermon (pictured: Hinn in .","a href="http://www.youtube.com/watch?v=gbbg&st=gbbg">He approached Benny Hinn during his sermon not his the picture describes./a>","polarity_negation","Predicted Relationship: contradiction with 55.65% confidence."
"he had approached Benny Hinn during his sermon (pictured: Hinn in .","During his sermon he approached Hann a picture as Benny described.","RS","Predicted Relationship: neutral with 91.66% confidence."
"he had approached Benny Hinn during his sermon (pictured: Hinn in .","During his sermon he approached Benjamin Hinn as the picture describes.","antonym","Predicted Relationship: entailment with 97.81% confidence."
"The men reportedly claimed they didn't know that Mr Araujo was deaf and dumb and wanted to know why he had approached Benny Hinn during his sermon.","The man claimed to have no knowledge that Mr Araujo was deaf and dumb and wanted to know why he approached Benny during his sermon.","RD","Predicted Relationship: entailment with 99.90% confidence."
"The men reportedly claimed they didn't know that Mr Araujo was deaf and dumb and wanted to know why he had approached Benny Hinn during his sermon.","info man claims he doesn't know that Mr Araujo is deaf and dumb and wants to know why he approached Benny Hinn during his sermons.","hypernym","Predicted Relationship: entailment with 99.34% confidence."
"The men reportedly claimed they didn't know that Mr Araujo was deaf and dumb and wanted to know why he had approached Benny Hinn during his sermon.","The man claimed to have no knowledge that Mr Araujo was deaf and dumb and wanted to know no reason why he approached Benny Hinn during his sermon.","polarity_negation","Predicted Relationship: contradiction with 98.80% confidence."
"The men reportedly claimed they didn't know that Mr Araujo was deaf and dumb and wanted to know why he had approached Benny Hinn during his sermon.","Araujo claims he didn't know Mr. Reporter was deaf and dumb and wanted to know why he approached Benny Hinn during his sermon.","RS","Predicted Relationship: contradiction with 99.63% confidence."
"The men reportedly claimed they didn't know that Mr Araujo was deaf and dumb and wanted to know why he had approached Benny Hinn during his sermon.","The man claimed to have not ignored the fact that Mr Araujo was deaf and dumb and wanted to know why he approached Benny Hinn during his sermons.","antonym","Predicted Relationship: contradiction with 99.80% confidence."
