Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"A biting arctic blast rattled from the Midwest to the Northeast this morning, sending temperatures plummeting and blanketing some areas with snow and sleet.","Biting arctic blast rattled the Midwest this morning sending temperatures plummeting and blanketing some areas with snow and sleet.","RD","Predicted Relationship: entailment with 84.86% confidence."
"A biting arctic blast rattled from the Midwest to the Northeast this morning, sending temperatures plummeting and blanketing some areas with snow and sleet.","Biting arctic blasts from the Midwest to the Northeast this morning were playing games sending temperatures plummeting and blanketing some areas with snow and sleet.","hypernym","Predicted Relationship: neutral with 99.18% confidence."
"A biting arctic blast rattled from the Midwest to the Northeast this morning, sending temperatures plummeting and blanketing some areas with snow and sleet.","Biting arctic blasts rattled the Midwest this morning sending temperatures plummeting and blanketing some areas with snow and sleet and sending the temperature up.","polarity_negation","Predicted Relationship: contradiction with 99.79% confidence."
"A biting arctic blast rattled from the Midwest to the Northeast this morning, sending temperatures plummeting and blanketing some areas with snow and sleet.","Biting blasts from the Midwest this morning from the arctic rattled the Northeast sending temperatures plummeting and blanketing some areas with snow and sleet.","RS","Predicted Relationship: entailment with 99.18% confidence."
"A biting arctic blast rattled from the Midwest to the Northeast this morning, sending temperatures plummeting and blanketing some areas with snow and sleet.","Biting arctic blast rattled the Midwest this morning sending temperatures plummeting and blanketing some areas with snow and sleet and into the Northeast.","antonym","Predicted Relationship: entailment with 99.24% confidence."
"Parts of New York, Chicago and New England, among others, are seeing the first snows of the season while nearly a third of the country can expect temperatures 10 to 20 degrees below normal for this time of the year, meteorologists warned.","Parts of New York parts of Chicago and parts of New England have seen the first snow but nearly one third of the country could expect temperatures below normal this time of year to be between 10 and 20 degrees below normal.","RD","Predicted Relationship: entailment with 99.60% confidence."
"Parts of New York, Chicago and New England, among others, are seeing the first snows of the season while nearly a third of the country can expect temperatures 10 to 20 degrees below normal for this time of the year, meteorologists warned.","Parts of New York parts of Chicago and parts of New England see first cocain of the season but nearly one third of the country could expect temperatures below normal this time of year between 10 and 20 degrees below normal.","hypernym","Predicted Relationship: entailment with 69.36% confidence."
"Parts of New York, Chicago and New England, among others, are seeing the first snows of the season while nearly a third of the country can expect temperatures 10 to 20 degrees below normal for this time of the year, meteorologists warned.","Parts of New York parts of Chicago and parts of New England have seen the first snow of the season but nearly one third of the country could expect temperatures below normal this time of year to be between 10 and 20 degrees below normal.","polarity_negation","Predicted Relationship: entailment with 99.61% confidence."
"Parts of New York, Chicago and New England, among others, are seeing the first snows of the season while nearly a third of the country can expect temperatures 10 to 20 degrees below normal for this time of the year, meteorologists warned.","Parts of New York parts of Chicago and parts of New England see first snow of the season but nearly 1/3 of the country can expect temperatures below normal this time of year between 10 and 20 degrees below normal.","RS","Predicted Relationship: entailment with 99.88% confidence."
"Parts of New York, Chicago and New England, among others, are seeing the first snows of the season while nearly a third of the country can expect temperatures 10 to 20 degrees below normal for this time of the year, meteorologists warned.","Parts of New York parts of Chicago and parts of New England have seen the first snow of the season but nearly one third of the country could expect temperatures below normal this time of year to be between 10 and 20 degrees below normal.","antonym","Predicted Relationship: entailment with 99.61% confidence."
