Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"I'm just trying to work out what will be the best option for me,' he said.","He said he was trying to work out what was his best option.","RD","Predicted Relationship: entailment with 99.90% confidence."
"I'm just trying to work out what will be the best option for me,' he said.","He said he was just trying to work out what his best option was for him.","hypernym","Predicted Relationship: entailment with 99.79% confidence."
"I'm just trying to work out what will be the best option for me,' he said.","He said he was just trying to work out what not to be his best option.","polarity_negation","Predicted Relationship: contradiction with 99.74% confidence."
"I'm just trying to work out what will be the best option for me,' he said.","He said he was trying to work out what was mostly his best option for him.","RS","Predicted Relationship: neutral with 80.08% confidence."
"I'm just trying to work out what will be the best option for me,' he said.","He said he was just trying to work out what his worst option was.","antonym","Predicted Relationship: contradiction with 99.92% confidence."
"Before the announcement on Wednesday morning that Tomkins will be on the move, Wigan chairman Ian Lenagan told Wigan Today: 'If he became available we would be very interested.","Before Tomkins' move was announced Wednesday morning Wigan Today's Ian Lenagan told reporters that the team would be very interested if Tomkins became available.","RD","Predicted Relationship: entailment with 55.68% confidence."
"Before the announcement on Wednesday morning that Tomkins will be on the move, Wigan chairman Ian Lenagan told Wigan Today: 'If he became available we would be very interested.","Before he announced his move starting Wednesday Wigan Today chairman Ian Lenagan told reporters that the team would be very interested if Tomkins became available.","hypernym","Predicted Relationship: neutral with 72.31% confidence."
"Before the announcement on Wednesday morning that Tomkins will be on the move, Wigan chairman Ian Lenagan told Wigan Today: 'If he became available we would be very interested.","Before he was announced as the new chairman Wednesday morning Wigan Today chairman Ian Lenagan told reporters that the team would be very interested if Tomkins became available.","polarity_negation","Predicted Relationship: contradiction with 97.37% confidence."
"Before the announcement on Wednesday morning that Tomkins will be on the move, Wigan chairman Ian Lenagan told Wigan Today: 'If he became available we would be very interested.","Before he was announced to make the move very Wednesday Wigan Today chairman Ian Lenagan told reporters that the team would be interested in the morning if Tomkins became available.","RS","Predicted Relationship: neutral with 90.76% confidence."
"Before the announcement on Wednesday morning that Tomkins will be on the move, Wigan chairman Ian Lenagan told Wigan Today: 'If he became available we would be very interested.","Before he announced his refrain Wednesday morning Wigan Today chairman Ian Lenagan told reporters that the team would be very interested if Tomkins became available.","antonym","Predicted Relationship: neutral with 70.10% confidence."
"If it gets to the point where he is available it is in our hands.","If it gets to the point where it is available we have it in our hands.","RD","Predicted Relationship: entailment with 97.57% confidence."
"If it gets to the point where he is available it is in our hands.","If it gets to where the punctuation marks are available to him we have it in our hands.","hypernym","Predicted Relationship: neutral with 73.61% confidence."
"If it gets to the point where he is available it is in our hands.","If it doesn't get to the point where he isn't available we'll have it in our hands.","polarity_negation","Predicted Relationship: contradiction with 98.69% confidence."
"If it gets to the point where he is available it is in our hands.","If it got to the point where we were available it was in his hands.","RS","Predicted Relationship: contradiction with 98.51% confidence."
"If it gets to the point where he is available it is in our hands.","If it gets to the point where he is unavailable we have it in our hands.","antonym","Predicted Relationship: contradiction with 98.00% confidence."
"Tomkins has been open with his current club about the reasons for wanting to leave.","Tomkins opened his club to reasons why he wanted to leave.","RD","Predicted Relationship: entailment with 99.86% confidence."
"Tomkins has been open with his current club about the reasons for wanting to leave.","Tomkins opened an account with his current club because he wanted to leave.","hypernym","Predicted Relationship: neutral with 98.97% confidence."
